TROPICAL SHAMPOO SALES

Date        Unit sales
----------------------
1-ene       15.405
8-ene       12.872
15-ene      22.852
22-ene	    15.629
29-ene	    11.850
5-feb	    13.376
12-feb	    19.059
19-feb	    15.909
26-feb	    15.671
5-mar       16.651
12-mar	    22.208
19-mar	    24.070
26-mar	    47.546
2-abr	    47.714
9-abr	    44.845
16-abr	    25.148
23-abr	    34.960
30-abr	    34.400
7-may	    36.178
14-may	    31.586
21-may	    41.119
28-may	    36.598
4-jun	    44.996
11-jun	    26.099
18-jun	    30.495
25-jun	    37.227
2-jul	    30.187
9-jul	    41.903
16-jul	    50.777
23-jul	    46.956
30-jul	    51.015
6-ago	    33.840
13-ago	    45.262
20-ago	    49.783
27-ago	    50.721
3-sept	    39.621
10-sept	    62.190
17-sept	    51.687
24-sept	    42.225
